Date,Air Temperature (°C) Max,Air Temperature (°C) Min,Air Temperature (°C) Mean,Soil Temperature (5 Cm Depth (°C)) Morning,Soil Temperature (5 Cm Depth (°C)) evening,Soil Temperature (5 Cm Depth (°C)) Mean,Soil Temperature (10 Cm Depth (°C)) Morning,Soil Temperature (10 Cm Depth (°C)) evening,Soil Temperature (10 Cm Depth (°C)) Mean,Soil Temperature (30 Cm Depth (°C)) Morning,Soil Temperature (30 Cm Depth (°C)) evening,Soil Temperature (30 Cm Depth (°C)) Mean,Relative Humidity (%) Morning,Relative Humidity (%) evening,Relative Humidity (%) Mean,Vapour Pressure (hPa) Morning,Vapour Pressure (hPa) evening,Vapour Pressure (hPa) Mean,wind speed,Wind Direction (M),Wind Direction (E),Sunshine Hours (hrs),Rainfall (mm),Evaporation (mm),Weather Code (M),Weather Code (E),
01/01/2024,10.4,8.4,9.4,12,15,13.5,12.6,14.6,13.6,14,14.5,14.3,94,87,91,8.2,8,8.1,3.5,NNW,C,0,0,0.5,1,1,Fog
02/01/2024,12,7.8,9.9,11,18,14.5,11.4,15.5,13.5,12.4,15,13.7,86,76,81,7.2,7.5,7.4,3,NW,NW,0,0,0.4,1,1,
03/01/2024,15,7.6,11.3,11.4,20.5,16,12,17.5,14.8,13.4,15.5,14.5,86,63,75,7.1,7.6,7.4,3.6,C,NW,0.6,0,0.5,1,0,
04/01/2024,9.6,5.6,7.6,10,14.5,12.3,10.4,13.5,12,12,13,12.5,97,86,92,6.9,7.7,7.3,3.8,NW,,0,0,0.6,1,1,Fog
05/01/2024,10,6.2,8.1,10.5,14,12.3,11,13,12,12.5,12.5,12.5,97,89,93,7.1,7.6,7.4,3.1,C,NW,0,0,0.5,1,1,Fog
06/01/2024,12,7,9.5,10.4,17,13.7,11,14.6,12.8,12.5,13.6,13.1,94,83,89,7.4,8.4,7.9,4.4,NE,NW,0,0,0.6,1,1,
07/01/2024,11,6.4,8.7,11,16.5,13.8,11.5,14,12.8,12,13.5,12.8,97,79,88,7.1,7.3,7.2,3,NW,NW,0,0,0.6,1,1,Fog
08/01/2024,11,5.8,8.4,10.5,16,13.3,11,14,12.5,12.5,13,12.8,94,78,86,6.3,7.5,6.9,2.1,NE,C,0,0,0.5,1,1,Fog
09/01/2024,11.4,7.4,9.4,10.6,14,12.3,11,13.5,12.3,12.6,13,12.8,94,75,85,7.6,7.2,7.4,4.7,NE,C,0,0,0.6,1,1,Fog
10/01/2024,11,6.4,8.7,10,15.5,12.8,10.6,14,12.3,12.5,13,12.8,94,80,87,6.9,7.5,7.2,6.2,NW,NW,0,0,0.7,1,1,Fog
11/01/2024,11.6,5.5,8.6,10,16,13,10.6,14,12.3,12,13,12.5,94,74,84,6.6,6.9,6.8,4.5,C,NW,1.1,0,0.8,1,0,Fog
12/01/2024,11,4.5,7.8,9,18,13.5,9.5,15,12.3,11.5,12,11.8,97,75,86,6.4,7.2,6.8,2.2,NW,NE,0,0,0.5,0,1,Fog
13/01/2024,15,5.5,10.3,10,19,14.5,10.5,15.6,13.1,12,13.4,12.7,94,67,81,7.4,8.1,7.8,2.7,SE,SW,0,0,0.5,1,0,Fog
14/01/2024,10.8,4,7.4,8.5,15.5,12,9,13,11,11,12,11.5,97,81,89,6.3,7.4,6.9,3.7,NW,NE,1.4,0,0.3,1,0,Fog
15/01/2024,13.2,2.8,8,8.4,19,13.7,8.8,15,11.9,10.6,13,11.8,97,64,81,6,7.1,6.6,3.1,NW,SW,3.5,0,0.5,1,0,Frost
16/01/2024,13,4.4,8.7,9.4,18.8,14.1,9.8,15.5,12.7,11,13,12,97,74,86,6.4,7.9,7.2,1.3,NE,NW,1.4,0,0.5,1,1,Fog
17/01/2024,16.4,3.9,10.2,9,19,14,9.5,15.6,12.6,10.5,12.6,11.6,97,78,88,6.4,9.1,7.8,1.1,C,SE,3.9,0,0.5,1,0,Fog
18/01/2024,15.8,3.8,9.8,9,20,14.5,9.5,16,12.8,11,13.5,12.3,97,70,84,9.4,8.5,9,3,C,NW,4.1,0,0.5,1,0,Fog
19/01/2024,10,6,8,10.2,13.5,11.9,10.7,12.5,11.6,12.5,12.5,12.5,97,86,92,7.1,7.7,7.4,2.6,NW,C,0,0,0.3,1,1,Fog
20/01/2024,15.2,8.6,11.9,11,19.4,15.2,11.4,16,13.7,12.5,13.5,13,84,69,77,7.6,8.1,7.9,3.2,C,NW,0,0,0.6,1,1,Fog
21/01/2024,11.4,6,8.7,9.8,16.5,13.2,10.4,14,12.2,12,13,12.5,94,75,85,7.1,7.3,7.2,5.6,NW,NW,0,0,1,1,1,Fog
22/01/2024,9.8,5.6,7.7,10,13.5,11.8,10.4,12.5,11.5,12,12,12,94,81,88,6.7,6.9,6.8,3.2,C,C,0,0,0.8,1,1,Fog
23/01/2024,13,6.2,9.6,10,19.5,14.8,10.4,15.5,13,12,13,12.5,91,67,79,6.3,6.9,6.6,3,NNE,NW,3.5,0,0.6,1,0,Fog
24/01/2024,9.6,3.8,6.7,8.4,14,11.2,8.8,12.4,10.6,11,11.4,11.2,97,83,90,6.2,7,6.6,3.6,NW,NE,0,0,0.4,1,1,Fog
25/01/2024,15.2,5.4,10.3,9.4,21,15.2,9.8,17,13.4,11,13.5,12.3,94,60,77,6.6,7.6,7.1,2.6,NW,NW,2.9,0,0.6,1,0,Fog
26/01/2024,17.4,4.4,10.9,8,22.5,15.3,9,18,13.5,12,14.5,13.3,97,56,77,6.3,7.9,7.1,2.9,C,NW,5.3,0,1,1,0,Fog
27/01/2024,20,5.2,12.6,9,23.5,16.3,9.6,18.5,14.1,12,15,13.5,97,49,73,6.8,8.2,7.5,2.7,NW,NW,6.7,0,1.2,1,0,Fog
28/01/2024,19.6,6.9,13.3,8.6,21.5,15.1,9.5,17.5,13.5,12,15,13.5,94,58,76,7.4,9.5,8.5,4.4,C,S,0.9,0,1.2,0,0,Fog
29/01/2024,21,8,14.5,9.4,23.5,16.5,10,19,14.5,12,15.5,13.8,94,56,63,7.9,9.9,8.9,2.1,SE,NW,1.3,0,0.8,1,1,Fog
30/01/2024,19.8,7.6,13.7,11,23.6,17.3,12,19.8,15.9,14,16,15,97,63,80,7.9,10.5,9.2,2,C,NW,2.6,4,1,1,2,
31/01/2024,19.8,11.6,15.7,14,22.4,18.2,14.5,19.4,17,15.5,16.6,16.1,90,63,77,10.2,10.4,10.3,7,C,SE,2.1,12.4,1.4,4,1,
Mean,13.4,5.9,9.8,10,18.1,14,10.4,15.2,12.9,12.1,13.6,12.9,94,72,83,7,7.9,7.5,3.4,,,1.3,16.4,20.5,,,
